memoryName,gen,latency,readUncached,write,price
Kingston KF556C40-32 32GB,DDR5,44,21600.00,18100.00,
G Skill Intl F5-6400J3239G16G 16GB,DDR5,31,19500.00,16700.00,909.98
G Skill Intl F5-5600J3636C16G 16GB,DDR5,42,19400.00,16300.00,627.98
G Skill Intl F5-6000U3636E16G 16GB,DDR5,28,18700.00,15900.00,
Corsair CMT64GX5M2B5200C40 32GB,DDR5,37,16500.00,15400.00,
Kingston 9905783-025.A01G 16GB,DDR5,41,17800.00,15200.00,
Team Group Inc. UD5-6400 16GB,DDR5,37,17400.00,15100.00,
Kingston KF560C40-16 16GB,DDR5,33,18100.00,15000.00,
Corsair CMT32GX5M2B5600C36 16GB,DDR5,32,17400.00,15000.00,559
Corsair CMT32GX5M2X6200C36 16GB,DDR5,31,16900.00,14900.00,
A-DATA Technology AX5U6000C4016G-B 16GB,DDR5,33,17300.00,14800.00,
Corsair CMK32GX5M2B5600C36 16GB,DDR5,31,16800.00,14700.00,499
G Skill Intl F5-6000U4040E16G 16GB,DDR5,30,17100.00,14600.00,
Kingston KF556C40-8 8GB,DDR5,48,17100.00,14600.00,
G Skill Intl F5-6000J3636F16G 16GB,DDR5,30,16400.00,14400.00,699
Corsair CMK64GX5M2B5200C40 32GB,DDR5,31,15800.00,14300.00,799
A-DATA Technology AD5U48008G-B 8GB,DDR5,44,17400.00,14200.00,
G Skill Intl F5-6000J4040F16G 16GB,DDR5,31,16200.00,14100.00,664.98
Kingston KF548C38-16 16GB,DDR5,36,16600.00,14000.00,
Corsair CMT32GX5M2X5600C36 16GB,DDR5,27,16000.00,14000.00,699
Kingston KF556C40-16 16GB,DDR5,32,16300.00,13700.00,
Kingston KF552C40-16 16GB,DDR5,33,16200.00,13700.00,
Golden Empire CL34-38-38 D5-5200 16GB,DDR5,29,15000.00,13700.00,
Crucial Technology CT32G48C40U5.M16A1 32GB,DDR5,31,14900.00,13700.00,
A-DATA Technology AX5U5200C3816G-B 16GB,DDR5,33,15800.00,13500.00,
